code,label_ar,definition_ar,note,concept,all_alternative_ar
c_00008d7b,التبادل بين الهواء والماء,,,http://aims.fao.org/aos/agrovoc/c_00008d7b,
c_000f556c,Leveillula lactucae-serriolae,,,http://aims.fao.org/aos/agrovoc/c_000f556c,
c_00188938,Podosphaera aphanis,,,http://aims.fao.org/aos/agrovoc/c_00188938,
c_001cb09b,Lathyrus czeczottianus,,,http://aims.fao.org/aos/agrovoc/c_001cb09b,
c_002a1554,Crocus biflorus subsp. caricus,,,http://aims.fao.org/aos/agrovoc/c_002a1554,
c_00355ed9,Mercurialis perennis,,,http://aims.fao.org/aos/agrovoc/c_00355ed9,
c_005b54e4,مجموعة ارتباط,,,http://aims.fao.org/aos/agrovoc/c_005b54e4,
c_005b6494,Hordeum brevisubulatum,,,http://aims.fao.org/aos/agrovoc/c_005b6494,
c_005d3ade,اختلافات خطوط العرض,,,http://aims.fao.org/aos/agrovoc/c_005d3ade,
c_007a49cf,Vinca major subsp. major,,,http://aims.fao.org/aos/agrovoc/c_007a49cf,
c_00824893,Geranium psilostemon,,,http://aims.fao.org/aos/agrovoc/c_00824893,
c_00883303,الدافعات,,,http://aims.fao.org/aos/agrovoc/c_00883303,
c_008b7d68,Cantharellaceae,,,http://aims.fao.org/aos/agrovoc/c_008b7d68,
c_009546f7,سعة المد والجزر,,,http://aims.fao.org/aos/agrovoc/c_009546f7,
c_00b4d400,Liatris spicata,,,http://aims.fao.org/aos/agrovoc/c_00b4d400,
c_00ba8c53,تنوع الأنواع الحراجية,,,http://aims.fao.org/aos/agrovoc/c_00ba8c53,
c_00bfba56,لب البطاطس,,,http://aims.fao.org/aos/agrovoc/c_00bfba56,
c_00cef80e,مرونة العرض,,,http://aims.fao.org/aos/agrovoc/c_00cef80e,
c_00cfeede,Ascochyta blight on peas,,,http://aims.fao.org/aos/agrovoc/c_00cfeede,
c_00da291f,متطلبات من الطاقة,,,http://aims.fao.org/aos/agrovoc/c_00da291f,
c_00f11054,انسحاج الريح,,,http://aims.fao.org/aos/agrovoc/c_00f11054,قشط
c_00f73a48,حبل الألياف الطبيعية,,,http://aims.fao.org/aos/agrovoc/c_00f73a48,
c_00fa8b0f,ديناميكيات الخليج,,,http://aims.fao.org/aos/agrovoc/c_00fa8b0f,
c_00fc6dac,Beta adanensis,,,http://aims.fao.org/aos/agrovoc/c_00fc6dac,
c_0102e3f7,العربية,,,http://aims.fao.org/aos/agrovoc/c_0102e3f7,
c_0105611b,Sideritis hololeuca,,,http://aims.fao.org/aos/agrovoc/c_0105611b,
c_010ca009,natto,,,http://aims.fao.org/aos/agrovoc/c_010ca009,
c_0116c78b,thiobarbituric acid,,,http://aims.fao.org/aos/agrovoc/c_0116c78b,
c_011bb48c,سلالات الدجاج,,,http://aims.fao.org/aos/agrovoc/c_011bb48c,
c_013b16cd,هدف التنمية المستدامة,17 هدفًا للناس، من أجل الكوكب إن أهداف التنمية المستدامة هي دعوة عالمية لاتخاذ إجراءات للقضاء على الفقر وحماية الكوكب وتحسين حياة وآفاق الجميع في كل مكان. لقد تبنت جميع الدول الأعضاء في الأمم المتحدة الأهداف الـ 17 في عام 2015، في إطار خطة التنمية المستدامة لعام 2030 التي انبثقت عنها خطة مدتها 15 عامًا لتحقيق هذه الأهداف.,,http://aims.fao.org/aos/agrovoc/c_013b16cd,
c_013e15ad,Cicer judaicum,,,http://aims.fao.org/aos/agrovoc/c_013e15ad,
c_013e3c3f,العقيدات المتعددة الفلزات,,,http://aims.fao.org/aos/agrovoc/c_013e3c3f,
c_014f4d29,انتشار الصوت,,,http://aims.fao.org/aos/agrovoc/c_014f4d29,
c_0152142c,الثدييات المختبرية,,,http://aims.fao.org/aos/agrovoc/c_0152142c,
c_015a10d0,Scandix macrorhyncha,,,http://aims.fao.org/aos/agrovoc/c_015a10d0,
c_015df0a5,أنيميا السالمون المعدية,,,http://aims.fao.org/aos/agrovoc/c_015df0a5,
c_01649e39,عسل مصفى,,,http://aims.fao.org/aos/agrovoc/c_01649e39,
c_016fddeb,أُفُق C,,,http://aims.fao.org/aos/agrovoc/c_016fddeb,
c_017d4a8d,Clitoria yellow vein virus,,,http://aims.fao.org/aos/agrovoc/c_017d4a8d,
c_0187d00c,العسل القشدي,,,http://aims.fao.org/aos/agrovoc/c_0187d00c,
c_019ee1cc,نخالة القمح,,,http://aims.fao.org/aos/agrovoc/c_019ee1cc,
c_019f7c0b,Cortinarius caperatus,,,http://aims.fao.org/aos/agrovoc/c_019f7c0b,
c_01ad7b16,Allium colchicifolium,,,http://aims.fao.org/aos/agrovoc/c_01ad7b16,
c_01b7aa79,Fritillaria assyriaca subsp. assyriaca,,,http://aims.fao.org/aos/agrovoc/c_01b7aa79,
c_01b896ed,الأهداف الاستراتيجية,,,http://aims.fao.org/aos/agrovoc/c_01b896ed,
c_01cc5834,Allium siculum subsp. dioscoridis,,,http://aims.fao.org/aos/agrovoc/c_01cc5834,
c_01ce5c50,Erodium acaule,,,http://aims.fao.org/aos/agrovoc/c_01ce5c50,
c_01e15c7d,isoxaflutole,,,http://aims.fao.org/aos/agrovoc/c_01e15c7d,
c_01e3dcc4,ادارة مستجمعات المياه,,,http://aims.fao.org/aos/agrovoc/c_01e3dcc4,
c_01ed930d,Allium stearnianum subsp. stearnianum,,,http://aims.fao.org/aos/agrovoc/c_01ed930d,
c_01f0e2ec,Allium baytopiorum,,,http://aims.fao.org/aos/agrovoc/c_01f0e2ec,
c_01f22cd0,متوسط منسوب سطح البحر,,,http://aims.fao.org/aos/agrovoc/c_01f22cd0,
c_02088607,المنتجات الخشبية الهندسية,,,http://aims.fao.org/aos/agrovoc/c_02088607,
c_02165b54,Cotinus coggygria,,,http://aims.fao.org/aos/agrovoc/c_02165b54,
c_02196e24,Lathyrus brachypterus,,,http://aims.fao.org/aos/agrovoc/c_02196e24,
c_021b8dd3,Arbutus andrachne,,,http://aims.fao.org/aos/agrovoc/c_021b8dd3,
c_022049e1,Polygonum alpinum,,,http://aims.fao.org/aos/agrovoc/c_022049e1,
c_022275ba,سلوك علامة الرائحة,,,http://aims.fao.org/aos/agrovoc/c_022275ba,
c_0251531e,Koeleria macrantha,,,http://aims.fao.org/aos/agrovoc/c_0251531e,
c_025678e5,الهدف 11 مدن ومجتمعات محلية مستدامة,,,http://aims.fao.org/aos/agrovoc/c_025678e5,
c_0273c413,شكَّالة لمكون بروتيين نوَوِي واحد,,,http://aims.fao.org/aos/agrovoc/c_0273c413,
c_0278ed5b,Asphodelus aestivus,,,http://aims.fao.org/aos/agrovoc/c_0278ed5b,
c_02815699,Lycoperdon lividum,,,http://aims.fao.org/aos/agrovoc/c_02815699,
c_0298275d,Populus afghanica,,,http://aims.fao.org/aos/agrovoc/c_0298275d,
c_02a4b957,Polygonum patulum,,,http://aims.fao.org/aos/agrovoc/c_02a4b957,
c_02a62b95,Fritillaria crassifolia subsp. kurdica,,,http://aims.fao.org/aos/agrovoc/c_02a62b95,
c_02a775b2,حمض متساوي الأسكوربيك,,,http://aims.fao.org/aos/agrovoc/c_02a775b2,حمض إيْريتوربيك
c_02abc178,clodinafop,,,http://aims.fao.org/aos/agrovoc/c_02abc178,
c_02ad0525,Muscari turcicum,,,http://aims.fao.org/aos/agrovoc/c_02ad0525,
c_02b11638,كربون عضوي مذاب,,,http://aims.fao.org/aos/agrovoc/c_02b11638,
c_02cda71c,صدمة اقتصادية,,,http://aims.fao.org/aos/agrovoc/c_02cda71c,
