code,label_es,definition_es,note,concept,all_alternative_es
c_00008d7b,Intercambio aire-agua,,,http://aims.fao.org/aos/agrovoc/c_00008d7b,
c_000f556c,Leveillula lactucae-serriolae,,,http://aims.fao.org/aos/agrovoc/c_000f556c,
c_0011700d,Péptidos de tránsito,,,http://aims.fao.org/aos/agrovoc/c_0011700d,
c_00188938,Podosphaera aphanis,,,http://aims.fao.org/aos/agrovoc/c_00188938,
c_001cb09b,Lathyrus czeczottianus,,,http://aims.fao.org/aos/agrovoc/c_001cb09b,
c_002a1554,Crocus biflorus subsp. caricus,,,http://aims.fao.org/aos/agrovoc/c_002a1554,
c_00355ed9,Mercurialis perennis,,,http://aims.fao.org/aos/agrovoc/c_00355ed9,
c_00369776,Depresión de la temperatura del dosel,,,http://aims.fao.org/aos/agrovoc/c_00369776,
c_005b54e4,Grupos de ligamiento,,,http://aims.fao.org/aos/agrovoc/c_005b54e4,
c_005b6494,Hordeum brevisubulatum,,,http://aims.fao.org/aos/agrovoc/c_005b6494,
c_005d3ade,Variaciones latitudinales,,,http://aims.fao.org/aos/agrovoc/c_005d3ade,
c_007a49cf,Vinca major subsp. major,,,http://aims.fao.org/aos/agrovoc/c_007a49cf,
c_00824893,Geranium psilostemon,,,http://aims.fao.org/aos/agrovoc/c_00824893,
c_008b7d68,Cantharellaceae,,,http://aims.fao.org/aos/agrovoc/c_008b7d68,
c_009546f7,Amplitud de marea,,,http://aims.fao.org/aos/agrovoc/c_009546f7,
c_00b4d400,Liatris spicata,,,http://aims.fao.org/aos/agrovoc/c_00b4d400,
c_00ba8c53,Diversidad de especies,,,http://aims.fao.org/aos/agrovoc/c_00ba8c53,
c_00bfba56,Pulpa de patatas,,,http://aims.fao.org/aos/agrovoc/c_00bfba56,
c_00cef80e,elasticidades de abastecimiento,,,http://aims.fao.org/aos/agrovoc/c_00cef80e,
c_00cfeede,Antracnosis del haba,,,http://aims.fao.org/aos/agrovoc/c_00cfeede,
c_00da291f,Necesidades energéticas,,,http://aims.fao.org/aos/agrovoc/c_00da291f,
c_00ee2c01,Emisión acústica,,,http://aims.fao.org/aos/agrovoc/c_00ee2c01,
c_00f11054,Abrasión por viento,,,http://aims.fao.org/aos/agrovoc/c_00f11054,
c_00fc6dac,Beta adanensis,,,http://aims.fao.org/aos/agrovoc/c_00fc6dac,
c_0102e3f7,Regalías,,,http://aims.fao.org/aos/agrovoc/c_0102e3f7,
c_0105611b,Sideritis hololeuca,,,http://aims.fao.org/aos/agrovoc/c_0105611b,
c_010ca009,natto,,,http://aims.fao.org/aos/agrovoc/c_010ca009,
c_0116c78b,Ácido araquidónicocido tiobarbitúrico,,,http://aims.fao.org/aos/agrovoc/c_0116c78b,
c_011bb48c,Razas de aves de corral,,,http://aims.fao.org/aos/agrovoc/c_011bb48c,
c_012487ec,Adenocarcinoma pulmonar ovino,,,http://aims.fao.org/aos/agrovoc/c_012487ec,
c_012f6226,Caracteristicas de la fruta,,,http://aims.fao.org/aos/agrovoc/c_012f6226,
c_013b16cd,Objetivos de Desarrollo Sostenible,"Los Objetivos de Desarrollo Sostenible (ODS) constituyen un llamamiento universal a la acción para poner fin a la pobreza, proteger el planeta y mejorar las vidas y las perspectivas de las personas en todo el mundo. En 2015, todos los Estados Miembros de las Naciones Unidas aprobaron 17 Objetivos como parte de la Agenda 2030 para el Desarrollo Sostenible, en la cual se establece un plan para alcanzar los Objetivos en 15 años.",,http://aims.fao.org/aos/agrovoc/c_013b16cd,
c_013e15ad,Cicer judaicum,,,http://aims.fao.org/aos/agrovoc/c_013e15ad,
c_013e3c3f,Nódulos de ferromanganeso,,,http://aims.fao.org/aos/agrovoc/c_013e3c3f,
c_0152142c,mamíferos de laboratorio,,,http://aims.fao.org/aos/agrovoc/c_0152142c,
c_015a10d0,Scandix macrorhyncha,,,http://aims.fao.org/aos/agrovoc/c_015a10d0,
c_015df0a5,Anemia infecciosa del salmón,,,http://aims.fao.org/aos/agrovoc/c_015df0a5,
c_016fddeb,horizontes C,,,http://aims.fao.org/aos/agrovoc/c_016fddeb,
c_0177d2d2,Flujos de lava,,,http://aims.fao.org/aos/agrovoc/c_0177d2d2,
c_017d4a8d,Clitoria yellow vein virus,,,http://aims.fao.org/aos/agrovoc/c_017d4a8d,
c_0187d00c,Miel cremosa,,,http://aims.fao.org/aos/agrovoc/c_0187d00c,Miel batida|Miel montada
c_019ee1cc,Salvado de trigo,,,http://aims.fao.org/aos/agrovoc/c_019ee1cc,
c_019f7c0b,Cortinarius caperatus,,,http://aims.fao.org/aos/agrovoc/c_019f7c0b,Rozites caperata|hongo gitano
c_01a507b7,Reclutamiento (pesquerías),"Reclutamiento (en una pesquería): Número de peces que son añadidos cada año a la población explotable en el área de pesca por efecto de la reproducción y el crecimiento de individuos jóvenes que alcanzan un tamaño explotable, o de la migración (es decir, que los peces penetran en el área de pesca)",,http://aims.fao.org/aos/agrovoc/c_01a507b7,
c_01a53647,Canales naturales,,,http://aims.fao.org/aos/agrovoc/c_01a53647,
c_01abe6cf,Barcos de motor,"Se llama lancha motora o lancha de motor generalmente al bote, diferente del velero y la moto de agua, movido por un motor de combustión interna que propulsa un reactor o una hélice.",,http://aims.fao.org/aos/agrovoc/c_01abe6cf,
c_01ad7b16,Allium colchicifolium,,,http://aims.fao.org/aos/agrovoc/c_01ad7b16,
c_01b7aa79,Fritillaria assyriaca subsp. assyriaca,,,http://aims.fao.org/aos/agrovoc/c_01b7aa79,
c_01c00c45,Pisos perforados,,,http://aims.fao.org/aos/agrovoc/c_01c00c45,
c_01cc5834,Allium siculum subsp. dioscoridis,,,http://aims.fao.org/aos/agrovoc/c_01cc5834,
c_01ce5c50,Erodium acaule,,,http://aims.fao.org/aos/agrovoc/c_01ce5c50,
c_01cf14ae,Núcleos de sal,,,http://aims.fao.org/aos/agrovoc/c_01cf14ae,
c_01e15c7d,isoxaflutol,,,http://aims.fao.org/aos/agrovoc/c_01e15c7d,
c_01e3dcc4,Ordenación de cuencas fluviales,,,http://aims.fao.org/aos/agrovoc/c_01e3dcc4,
c_01ed930d,Allium stearnianum subsp. stearnianum,,,http://aims.fao.org/aos/agrovoc/c_01ed930d,
c_01eedfe5,Cariología,,,http://aims.fao.org/aos/agrovoc/c_01eedfe5,
c_01f0e2ec,Allium baytopiorum,,,http://aims.fao.org/aos/agrovoc/c_01f0e2ec,
c_01f22cd0,Nivel promedio del mar,,,http://aims.fao.org/aos/agrovoc/c_01f22cd0,
c_01f57718,Proteína de guisante,,,http://aims.fao.org/aos/agrovoc/c_01f57718,
c_01f95724,Microscopia óptica,,,http://aims.fao.org/aos/agrovoc/c_01f95724,
c_02165b54,Cotinus coggygria,,,http://aims.fao.org/aos/agrovoc/c_02165b54,
c_02196e24,Lathyrus brachypterus,,,http://aims.fao.org/aos/agrovoc/c_02196e24,
c_021b8dd3,Arbutus andrachne,,,http://aims.fao.org/aos/agrovoc/c_021b8dd3,
c_022049e1,Polygonum alpinum,,,http://aims.fao.org/aos/agrovoc/c_022049e1,
c_022275ba,Comportamiento de marcación,,,http://aims.fao.org/aos/agrovoc/c_022275ba,
c_02300498,Espectros de energía,,,http://aims.fao.org/aos/agrovoc/c_02300498,
c_02400a0b,Categorías de animales,,,http://aims.fao.org/aos/agrovoc/c_02400a0b,
c_02514452,Estímulos térmicos,,,http://aims.fao.org/aos/agrovoc/c_02514452,
c_0251531e,Koeleria macrantha,,,http://aims.fao.org/aos/agrovoc/c_0251531e,
c_02516980,Errores,,,http://aims.fao.org/aos/agrovoc/c_02516980,
c_025678e5,Objetivo 11 Ciudades y comunidades sostenibles,,,http://aims.fao.org/aos/agrovoc/c_025678e5,
c_0271cf02,Hielo de agua dulce,,,http://aims.fao.org/aos/agrovoc/c_0271cf02,
c_0273c413,Polimorfismos de nucleótido único,"Un polimorfismo de nucleótido único (SNP) es una variante genómica en la posición de una base única en el ADN. Los científicos estudian si los SNP en un genoma influyen en la salud, la enfermedad, la respuesta a los fármacos y otros rasgos, y por cual mecanismo.",,http://aims.fao.org/aos/agrovoc/c_0273c413,
