code,label_fr,definition_fr,note,concept,all_alternative_fr
c_00008d7b,échange air-eau,,,http://aims.fao.org/aos/agrovoc/c_00008d7b,
c_000f556c,Leveillula lactucae-serriolae,,,http://aims.fao.org/aos/agrovoc/c_000f556c,
c_0011700d,peptide de transit,,,http://aims.fao.org/aos/agrovoc/c_0011700d,
c_00188938,Podosphaera aphanis,,,http://aims.fao.org/aos/agrovoc/c_00188938,
c_001cb09b,Lathyrus czeczottianus,,,http://aims.fao.org/aos/agrovoc/c_001cb09b,
c_002a1554,Crocus biflorus subsp. caricus,,,http://aims.fao.org/aos/agrovoc/c_002a1554,
c_00355ed9,Mercurialis perennis,,,http://aims.fao.org/aos/agrovoc/c_00355ed9,
c_00369776,dépression de la température de la canopée,,,http://aims.fao.org/aos/agrovoc/c_00369776,
c_005b54e4,groupe de liaison,,,http://aims.fao.org/aos/agrovoc/c_005b54e4,
c_005b6494,Hordeum brevisubulatum,,,http://aims.fao.org/aos/agrovoc/c_005b6494,
c_005d3ade,variation latitudinale,,,http://aims.fao.org/aos/agrovoc/c_005d3ade,
c_007a49cf,Vinca major subsp. major,,,http://aims.fao.org/aos/agrovoc/c_007a49cf,
c_00824893,Geranium psilostemon,,,http://aims.fao.org/aos/agrovoc/c_00824893,
c_00883303,propulseur,,,http://aims.fao.org/aos/agrovoc/c_00883303,
c_008b7d68,Cantharellaceae,,,http://aims.fao.org/aos/agrovoc/c_008b7d68,
c_009546f7,amplitude des marées,,,http://aims.fao.org/aos/agrovoc/c_009546f7,
c_00b4d400,Liatris spicata,,,http://aims.fao.org/aos/agrovoc/c_00b4d400,
c_00ba8c53,diversité des espèces,,,http://aims.fao.org/aos/agrovoc/c_00ba8c53,
c_00bfba56,pulpe de pomme de terre,,,http://aims.fao.org/aos/agrovoc/c_00bfba56,
c_00cef80e,élasticité de l'offre,,,http://aims.fao.org/aos/agrovoc/c_00cef80e,
c_00cfeede,ascochytose des pois,,,http://aims.fao.org/aos/agrovoc/c_00cfeede,
c_00da291f,besoin énergétique,,,http://aims.fao.org/aos/agrovoc/c_00da291f,
c_00ee2c01,émission acoustique,,,http://aims.fao.org/aos/agrovoc/c_00ee2c01,
c_00f11054,abrasion par le vent,,,http://aims.fao.org/aos/agrovoc/c_00f11054,
c_00f73a48,corde en fibre (naturelle),,,http://aims.fao.org/aos/agrovoc/c_00f73a48,
c_00fa8b0f,dynamique de baie,,,http://aims.fao.org/aos/agrovoc/c_00fa8b0f,
c_00fc6dac,Beta adanensis,,,http://aims.fao.org/aos/agrovoc/c_00fc6dac,
c_0102e3f7,redevances,,,http://aims.fao.org/aos/agrovoc/c_0102e3f7,
c_0105611b,Sideritis hololeuca,,,http://aims.fao.org/aos/agrovoc/c_0105611b,
c_010ca009,natto,,,http://aims.fao.org/aos/agrovoc/c_010ca009,
c_0116c78b,acide thiobarbiturique,,,http://aims.fao.org/aos/agrovoc/c_0116c78b,
c_011bb48c,race de volaille,,,http://aims.fao.org/aos/agrovoc/c_011bb48c,
c_011d9980,poudre mouillable pour traitement humide des semences,,,http://aims.fao.org/aos/agrovoc/c_011d9980,
c_012487ec,adénocarcinome pulmonaire ovin,,,http://aims.fao.org/aos/agrovoc/c_012487ec,
c_012f6226,caractéristique du fruit,,,http://aims.fao.org/aos/agrovoc/c_012f6226,
c_013b16cd,objectif de développement durable,"Les objectifs de développement durable sont un appel universel à l’action pour éliminer la pauvreté, protéger la planète et améliorer le quotidien de toutes les personnes partout dans le monde, tout en leur ouvrant des perspectives d’avenir. Au nombre de 17, les objectifs de développement durable ont été adoptés en 2015 par l’ensemble des États Membres de l’Organisation des Nations Unies dans le cadre du Programme de développement durable à l’horizon 2030, qui définit un plan sur 15 ans visant à réaliser ces objectifs.",,http://aims.fao.org/aos/agrovoc/c_013b16cd,
c_013e15ad,Cicer judaicum,,,http://aims.fao.org/aos/agrovoc/c_013e15ad,
c_013e3c3f,nodule de ferromanganèse,,,http://aims.fao.org/aos/agrovoc/c_013e3c3f,
c_014f4d29,diffusion du son,,,http://aims.fao.org/aos/agrovoc/c_014f4d29,
c_0152142c,mammifère de laboratoire,,,http://aims.fao.org/aos/agrovoc/c_0152142c,
c_015a10d0,Scandix macrorhyncha,,,http://aims.fao.org/aos/agrovoc/c_015a10d0,
c_015df0a5,anémie infectieuse du saumon,,,http://aims.fao.org/aos/agrovoc/c_015df0a5,
c_01649e39,miel filtré,,,http://aims.fao.org/aos/agrovoc/c_01649e39,
c_016afa96,exploration polaire,,,http://aims.fao.org/aos/agrovoc/c_016afa96,
c_016fddeb,horizon c,,,http://aims.fao.org/aos/agrovoc/c_016fddeb,
c_0177d2d2,coulée de lave,,,http://aims.fao.org/aos/agrovoc/c_0177d2d2,
c_017d4a8d,virus de la jaunisse des nervures,,,http://aims.fao.org/aos/agrovoc/c_017d4a8d,
c_0187d00c,miel crémeux,,,http://aims.fao.org/aos/agrovoc/c_0187d00c,miel pris
c_019ee1cc,son de blé,,,http://aims.fao.org/aos/agrovoc/c_019ee1cc,
c_019f7c0b,Cortinarius caperatus,,,http://aims.fao.org/aos/agrovoc/c_019f7c0b,Rozites caperata
c_01a507b7,recrutement (pêcherie),"Nombre de poissons (recrues) ajoutés chaque année au stock exploitable dans la zone de pêche, par le biais du processus de croissance (le poisson atteint une taille à laquelle on peut le capturer) ou la migration (le poisson rejoint la zone de pêche).",,http://aims.fao.org/aos/agrovoc/c_01a507b7,
c_01a53647,chenal,,,http://aims.fao.org/aos/agrovoc/c_01a53647,
c_01abe6cf,bateau à moteur,,,http://aims.fao.org/aos/agrovoc/c_01abe6cf,
c_01ad7b16,Allium colchicifolium,,,http://aims.fao.org/aos/agrovoc/c_01ad7b16,
c_01b7aa79,Fritillaria assyriaca subsp. assyriaca,,,http://aims.fao.org/aos/agrovoc/c_01b7aa79,
c_01b896ed,objectif stratégique,,,http://aims.fao.org/aos/agrovoc/c_01b896ed,
c_01c00c45,plancher perforé,,,http://aims.fao.org/aos/agrovoc/c_01c00c45,
c_01c7b3de,comportement de vol,,,http://aims.fao.org/aos/agrovoc/c_01c7b3de,
c_01cc5834,Allium siculum subsp. dioscoridis,,,http://aims.fao.org/aos/agrovoc/c_01cc5834,
c_01ce5c50,Erodium acaule,,,http://aims.fao.org/aos/agrovoc/c_01ce5c50,
c_01cf14ae,noyau de sel,,,http://aims.fao.org/aos/agrovoc/c_01cf14ae,
c_01d4db4f,engins de pêche par accrochage,,,http://aims.fao.org/aos/agrovoc/c_01d4db4f,
c_01e15c7d,isoxaflutole,,,http://aims.fao.org/aos/agrovoc/c_01e15c7d,
c_01e3dcc4,aménagement des bassins fluviaux,,,http://aims.fao.org/aos/agrovoc/c_01e3dcc4,
c_01ed930d,Allium stearnianum subsp. stearnianum,,,http://aims.fao.org/aos/agrovoc/c_01ed930d,
c_01eedfe5,caryologie,,,http://aims.fao.org/aos/agrovoc/c_01eedfe5,
c_01f0e2ec,Allium baytopiorum,,,http://aims.fao.org/aos/agrovoc/c_01f0e2ec,
c_01f22cd0,niveau moyen des mers,,,http://aims.fao.org/aos/agrovoc/c_01f22cd0,
c_01f57718,protéines de pois,,,http://aims.fao.org/aos/agrovoc/c_01f57718,
c_01f95724,microscopie optique,,,http://aims.fao.org/aos/agrovoc/c_01f95724,
c_02088607,produit bois d'ingénierie,,,http://aims.fao.org/aos/agrovoc/c_02088607,
c_02165b54,Cotinus coggygria,,,http://aims.fao.org/aos/agrovoc/c_02165b54,
c_02196e24,Lathyrus brachypterus,,,http://aims.fao.org/aos/agrovoc/c_02196e24,
c_021b8dd3,Arbutus andrachne,,,http://aims.fao.org/aos/agrovoc/c_021b8dd3,
c_022049e1,Polygonum alpinum,,,http://aims.fao.org/aos/agrovoc/c_022049e1,
c_022275ba,comportement de marquage olfactif,,,http://aims.fao.org/aos/agrovoc/c_022275ba,
c_02300498,spectre d'énergie,,,http://aims.fao.org/aos/agrovoc/c_02300498,
c_02400a0b,catégorie d'animaux,,,http://aims.fao.org/aos/agrovoc/c_02400a0b,
c_02514452,stimulus thermique,,,http://aims.fao.org/aos/agrovoc/c_02514452,
c_0251531e,Koeleria macrantha,,,http://aims.fao.org/aos/agrovoc/c_0251531e,
c_02516980,erreur,,,http://aims.fao.org/aos/agrovoc/c_02516980,
c_025678e5,Objectif 11 Villes et communautés durables,,,http://aims.fao.org/aos/agrovoc/c_025678e5,
c_0271cf02,glace d'eau douce,Désigne toute forme de glace provenant du gel de l'eau douce. ,,http://aims.fao.org/aos/agrovoc/c_0271cf02,
c_0273c413,polymorphisme à nucléotide unique,"Un polymorphisme de nucléotide unique est une substitution d'un seul nucléotide qui se
produit à une position spécifique dans le génome.",,http://aims.fao.org/aos/agrovoc/c_0273c413,polymorphisme de nucléotide unique
c_0278ed5b,Asphodelus aestivus,,,http://aims.fao.org/aos/agrovoc/c_0278ed5b,
c_02815699,Lycoperdon lividum,,,http://aims.fao.org/aos/agrovoc/c_02815699,
c_0298275d,Populus afghanica,,,http://aims.fao.org/aos/agrovoc/c_0298275d,
c_02a4b957,Polygonum patulum,,,http://aims.fao.org/aos/agrovoc/c_02a4b957,
c_02a62b95,Fritillaria crassifolia subsp. kurdica,,,http://aims.fao.org/aos/agrovoc/c_02a62b95,
c_02a775b2,acide isoascorbique,,,http://aims.fao.org/aos/agrovoc/c_02a775b2,acide érythorbique
c_02a9ddf9,cours d'eau éphémère,,,http://aims.fao.org/aos/agrovoc/c_02a9ddf9,
c_02abc178,clodinafop,,,http://aims.fao.org/aos/agrovoc/c_02abc178,
c_02ad0525,Muscari turcicum,,,http://aims.fao.org/aos/agrovoc/c_02ad0525,
c_02b11638,carbone organique dissout,,,http://aims.fao.org/aos/agrovoc/c_02b11638,
c_02bf34c3,ingénierie côtière,,,http://aims.fao.org/aos/agrovoc/c_02bf34c3,
c_02c2e9aa,composé de manganèse,,,http://aims.fao.org/aos/agrovoc/c_02c2e9aa,
c_02cda71c,choc économique,,,http://aims.fao.org/aos/agrovoc/c_02cda71c,
c_02d61475,étang de stockage,,,http://aims.fao.org/aos/agrovoc/c_02d61475,
c_02e0df9b,vague catastrophique,,,http://aims.fao.org/aos/agrovoc/c_02e0df9b,
c_02e1a336,amphibolite,,,http://aims.fao.org/aos/agrovoc/c_02e1a336,
c_02e6f477,herbicide au thiocarbamate,,,http://aims.fao.org/aos/agrovoc/c_02e6f477,
