"code","label_ru","note","concept","all_alternative_ru","all_hidden_ru","definition_en"
"c_00008d7b","водно-воздушный обмен","","http://aims.fao.org/aos/agrovoc/c_00008d7b","водно-воздушный перенос","",""
"c_000f556c","Leveillula lactucae-serriolae","","http://aims.fao.org/aos/agrovoc/c_000f556c","","",""
"c_0011700d","транзитные пептиды","","http://aims.fao.org/aos/agrovoc/c_0011700d","","",""
"c_00188938","Podosphaera aphanis","","http://aims.fao.org/aos/agrovoc/c_00188938","","",""
"c_001cb09b","Lathyrus czeczottianus","","http://aims.fao.org/aos/agrovoc/c_001cb09b","","",""
"c_002a1554","Crocus biflorus subsp. caricus","","http://aims.fao.org/aos/agrovoc/c_002a1554","","",""
"c_00355ed9","Mercurialis perennis","","http://aims.fao.org/aos/agrovoc/c_00355ed9","пролесник многолетний","",""
"c_00369776","показатель CTD","","http://aims.fao.org/aos/agrovoc/c_00369776","разница между температурой под пологом растений и температурой воздуха","",""
"c_003c0f51","репрезентативное управление","","http://aims.fao.org/aos/agrovoc/c_003c0f51","","",""
"c_005b54e4","группа сцепления","","http://aims.fao.org/aos/agrovoc/c_005b54e4","","",""
"c_005b6494","Hordeum brevisubulatum","","http://aims.fao.org/aos/agrovoc/c_005b6494","","",""
"c_005d3ade","широтная вариация","","http://aims.fao.org/aos/agrovoc/c_005d3ade","","",""
"c_007a49cf","Vinca major subsp. major","","http://aims.fao.org/aos/agrovoc/c_007a49cf","","",""
"c_00824893","Geranium psilostemon","","http://aims.fao.org/aos/agrovoc/c_00824893","герань мелкотычинковая","",""
"c_00883303","подруливающие устройства","","http://aims.fao.org/aos/agrovoc/c_00883303","","",""
"c_008b7d68","Cantharellaceae","","http://aims.fao.org/aos/agrovoc/c_008b7d68","","",""
"c_009546f7","половина высоты прилива","","http://aims.fao.org/aos/agrovoc/c_009546f7","","",""
"c_00b4d400","Liatris spicata","","http://aims.fao.org/aos/agrovoc/c_00b4d400","","",""
"c_00ba8c53","разнообразие видов","","http://aims.fao.org/aos/agrovoc/c_00ba8c53","","",""
"c_00bfba56","картофельная мезга","","http://aims.fao.org/aos/agrovoc/c_00bfba56","","",""
"c_00cef80e","эластичность предложения","","http://aims.fao.org/aos/agrovoc/c_00cef80e","","",""
"c_00cfeede","аскохитоз гороха","","http://aims.fao.org/aos/agrovoc/c_00cfeede","","",""
"c_00da291f","потребности в энергии","","http://aims.fao.org/aos/agrovoc/c_00da291f","","",""
"c_00ee2c01","акустическая эмиссия","","http://aims.fao.org/aos/agrovoc/c_00ee2c01","звуковая эмиссия","",""
"c_00f11054","ветровая абразия","","http://aims.fao.org/aos/agrovoc/c_00f11054","ветровое истирание","",""
"c_00f73a48","растительный трос","","http://aims.fao.org/aos/agrovoc/c_00f73a48","канат из натуральных волокон","",""
"c_00fa8b0f","динамика бухты","","http://aims.fao.org/aos/agrovoc/c_00fa8b0f","","",""
"c_00fc6dac","Beta adanensis","","http://aims.fao.org/aos/agrovoc/c_00fc6dac","","",""
"c_0102e3f7","авторское вознаграждение","","http://aims.fao.org/aos/agrovoc/c_0102e3f7","","",""
"c_0105611b","Sideritis hololeuca","","http://aims.fao.org/aos/agrovoc/c_0105611b","","",""
"c_010ca009","натто","","http://aims.fao.org/aos/agrovoc/c_010ca009","","",""
"c_0116c78b","тиобарбитуровая кислота","","http://aims.fao.org/aos/agrovoc/c_0116c78b","","",""
"c_011bb48c","породы сельскохозяйственной птицы","","http://aims.fao.org/aos/agrovoc/c_011bb48c","","",""
"c_011d9980","водно-диспергируемый порошок для влажной обработки семян","","http://aims.fao.org/aos/agrovoc/c_011d9980","смачивающийся порошок для влажной обработки семян","",""
"c_012487ec","аденоматоз легких овец","","http://aims.fao.org/aos/agrovoc/c_012487ec","легочный аденоматоз овец","",""
"c_012f6226","свойства плодов","","http://aims.fao.org/aos/agrovoc/c_012f6226","","",""
"c_013b16cd","цели в области устойчивого развития","","http://aims.fao.org/aos/agrovoc/c_013b16cd","","",""
"c_013e15ad","Cicer judaicum","","http://aims.fao.org/aos/agrovoc/c_013e15ad","","",""
"c_013e3c3f","железомарганцевая конкреция","","http://aims.fao.org/aos/agrovoc/c_013e3c3f","","",""
"c_014f4d29","акустическое рассеяние","","http://aims.fao.org/aos/agrovoc/c_014f4d29","рассеяние звука|рассеяние звуковых волн","",""
"c_0152142c","лабораторные млекопитающие","","http://aims.fao.org/aos/agrovoc/c_0152142c","","",""
"c_015a10d0","Scandix macrorhyncha","","http://aims.fao.org/aos/agrovoc/c_015a10d0","","",""
"c_015df0a5","инфекционная анемия лосося","","http://aims.fao.org/aos/agrovoc/c_015df0a5","","",""
"c_01649e39","мед-подцед","","http://aims.fao.org/aos/agrovoc/c_01649e39","","",""
"c_016afa96","полярные исследования","","http://aims.fao.org/aos/agrovoc/c_016afa96","","",""
"c_016fddeb","горизонт С","","http://aims.fao.org/aos/agrovoc/c_016fddeb","материнская порода","",""
"c_0177d2d2","потоки лавы","","http://aims.fao.org/aos/agrovoc/c_0177d2d2","","",""
"c_017a900c","фитопланктонные сообщества","","http://aims.fao.org/aos/agrovoc/c_017a900c","","",""
"c_017d4a8d","вирус пожелтения жилок клитории","","http://aims.fao.org/aos/agrovoc/c_017d4a8d","","",""
"c_0187d00c","крем-мед","","http://aims.fao.org/aos/agrovoc/c_0187d00c","","",""
"c_0199d88a","шельфовые течения","","http://aims.fao.org/aos/agrovoc/c_0199d88a","","",""
"c_019ee1cc","пшеничные отруби","","http://aims.fao.org/aos/agrovoc/c_019ee1cc","","",""
"c_019f7c0b","Cortinarius caperatus","","http://aims.fao.org/aos/agrovoc/c_019f7c0b","Rozites caperata","",""
"c_01a507b7","пополнение промыслового стада","","http://aims.fao.org/aos/agrovoc/c_01a507b7","","",""
"c_01a53647","каналы","","http://aims.fao.org/aos/agrovoc/c_01a53647","русла","",""
"c_01abe6cf","моторные катера","","http://aims.fao.org/aos/agrovoc/c_01abe6cf","моторные лодки","",""
"c_01ad7b16","Allium colchicifolium","","http://aims.fao.org/aos/agrovoc/c_01ad7b16","","",""
"c_01b7aa79","Fritillaria assyriaca subsp. assyriaca","","http://aims.fao.org/aos/agrovoc/c_01b7aa79","","",""
"c_01b896ed","стратегические цели","","http://aims.fao.org/aos/agrovoc/c_01b896ed","","",""
"c_01c00c45","перфорированные полы","","http://aims.fao.org/aos/agrovoc/c_01c00c45","","",""
"c_01c7b3de","полетное поведение","","http://aims.fao.org/aos/agrovoc/c_01c7b3de","способность летать","",""
"c_01cc5834","Allium siculum subsp. dioscoridis","","http://aims.fao.org/aos/agrovoc/c_01cc5834","","",""
"c_01ce5c50","Erodium acaule","","http://aims.fao.org/aos/agrovoc/c_01ce5c50","","",""
"c_01cf14ae","соляное ядро","","http://aims.fao.org/aos/agrovoc/c_01cf14ae","","",""
"c_01d4db4f","крюк-кошка (промысел млекопитающих)","","http://aims.fao.org/aos/agrovoc/c_01d4db4f","","",""
"c_01e15c7d","изоксафлутол","","http://aims.fao.org/aos/agrovoc/c_01e15c7d","","",""
"c_01e3dcc4","управление водохозяйственной деятельностью в речном бассейне","","http://aims.fao.org/aos/agrovoc/c_01e3dcc4","","",""
"c_01ed930d","Allium stearnianum subsp. stearnianum","","http://aims.fao.org/aos/agrovoc/c_01ed930d","","",""
"c_01eedfe5","кариология","","http://aims.fao.org/aos/agrovoc/c_01eedfe5","","",""
"c_01f0e2ec","Allium baytopiorum","","http://aims.fao.org/aos/agrovoc/c_01f0e2ec","","",""
"c_01f22cd0","средний уровень моря","","http://aims.fao.org/aos/agrovoc/c_01f22cd0","","",""
"c_01f57718","гороховый протеин","","http://aims.fao.org/aos/agrovoc/c_01f57718","","",""
"c_01f95724","световая микроскопия","","http://aims.fao.org/aos/agrovoc/c_01f95724","","",""
"c_02088607","инженерные изделия из дерева","","http://aims.fao.org/aos/agrovoc/c_02088607","","",""
"c_02165b54","Cotinus coggygria","","http://aims.fao.org/aos/agrovoc/c_02165b54","Rhus cotinus","",""
"c_02196e24","Lathyrus brachypterus","","http://aims.fao.org/aos/agrovoc/c_02196e24","","",""
"c_021b8dd3","Arbutus andrachne","","http://aims.fao.org/aos/agrovoc/c_021b8dd3","","",""
"c_022049e1","Polygonum alpinum","","http://aims.fao.org/aos/agrovoc/c_022049e1","","",""
"c_022275ba","запаховое мечение","","http://aims.fao.org/aos/agrovoc/c_022275ba","ольфакторное мечение","",""
"c_02246cd7","венесуэльский энцефаломиелит лошадей","","http://aims.fao.org/aos/agrovoc/c_02246cd7","","",""
"c_02300498","энергетический спектр","","http://aims.fao.org/aos/agrovoc/c_02300498","","",""
"c_02400a0b","классификация животных (статистика)","","http://aims.fao.org/aos/agrovoc/c_02400a0b","","",""
"c_02514452","тепловые стимуляторы","","http://aims.fao.org/aos/agrovoc/c_02514452","","",""
"c_0251531e","Koeleria macrantha","","http://aims.fao.org/aos/agrovoc/c_0251531e","","",""
"c_02516980","ошибка","","http://aims.fao.org/aos/agrovoc/c_02516980","","",""
"c_025678e5","Цель 11 Устойчивые города и населенные пункты","","http://aims.fao.org/aos/agrovoc/c_025678e5","","",""
"c_0271cf02","пресноводный лед","","http://aims.fao.org/aos/agrovoc/c_0271cf02","","",""
"c_0273c413","однонуклеотидные полиморфизмы","","http://aims.fao.org/aos/agrovoc/c_0273c413","","",""
"c_0278ed5b","Asphodelus aestivus","","http://aims.fao.org/aos/agrovoc/c_0278ed5b","","",""
"c_02815699","Lycoperdon lividum","","http://aims.fao.org/aos/agrovoc/c_02815699","","",""
