"code","label_zh","note","concept","all_alternative_zh","all_hidden_zh","definition_en"
"c_00008d7b","水汽交换","","http://aims.fao.org/aos/agrovoc/c_00008d7b","","",""
"c_000f556c","Leveillula lactucae-serriolae","","http://aims.fao.org/aos/agrovoc/c_000f556c","","",""
"c_00188938","Podosphaera aphanis","","http://aims.fao.org/aos/agrovoc/c_00188938","","",""
"c_001cb09b","Lathyrus czeczottianus","","http://aims.fao.org/aos/agrovoc/c_001cb09b","","",""
"c_002a1554","Crocus biflorus subsp. caricus","","http://aims.fao.org/aos/agrovoc/c_002a1554","","",""
"c_00355ed9","Mercurialis perennis","","http://aims.fao.org/aos/agrovoc/c_00355ed9","","",""
"c_003c0f51","参与性治理","","http://aims.fao.org/aos/agrovoc/c_003c0f51","","",""
"c_005b54e4","连锁群","","http://aims.fao.org/aos/agrovoc/c_005b54e4","","",""
"c_005b6494","Hordeum brevisubulatum","","http://aims.fao.org/aos/agrovoc/c_005b6494","","",""
"c_005d3ade","纬度变化","","http://aims.fao.org/aos/agrovoc/c_005d3ade","","",""
"c_007a49cf","Vinca major subsp. major","","http://aims.fao.org/aos/agrovoc/c_007a49cf","","",""
"c_00824893","Geranium psilostemon","","http://aims.fao.org/aos/agrovoc/c_00824893","","",""
"c_00883303","横向推进器","","http://aims.fao.org/aos/agrovoc/c_00883303","","",""
"c_008b7d68","Cantharellaceae","","http://aims.fao.org/aos/agrovoc/c_008b7d68","","",""
"c_009546f7","潮幅","","http://aims.fao.org/aos/agrovoc/c_009546f7","","",""
"c_00b4d400","Liatris spicata","","http://aims.fao.org/aos/agrovoc/c_00b4d400","","",""
"c_00ba8c53","物种多样性","","http://aims.fao.org/aos/agrovoc/c_00ba8c53","","",""
"c_00da291f","能量需要量","","http://aims.fao.org/aos/agrovoc/c_00da291f","","",""
"c_00ee2c01","声发射","","http://aims.fao.org/aos/agrovoc/c_00ee2c01","","",""
"c_00f11054","风蚀作用","","http://aims.fao.org/aos/agrovoc/c_00f11054","","",""
"c_00f73a48","纤维绳(天然的)","","http://aims.fao.org/aos/agrovoc/c_00f73a48","","",""
"c_00fa8b0f","海湾动力学","","http://aims.fao.org/aos/agrovoc/c_00fa8b0f","","",""
